DISTRICT,dem_votes,rep_votes,total_two_party,dem_share
01,252630.403692549,230082.24113538515,482712.64482793416,0.5233556783717581
02,327415.3076096683,303131.6617490006,630546.9693586689,0.5192560166337542
03,206639.50532733795,195614.32832892772,402253.83365626563,0.5137042534787021
04,214195.9239525069,163605.73282606524,377801.6567785721,0.5669533738388188
05,235363.95910098698,330736.5377939608,566100.4968949477,0.4157635621094745
06,177362.71536589108,154598.0306509805,331960.7460168716,0.5342882177908974
07,194159.90427305346,152272.09918226738,346432.00345532084,0.5604560269735419
08,230286.27339789766,119331.8369826935,349618.1103805911,0.6586794750054855
09,169807.96895320684,119462.46359667949,289270.43254988635,0.5870215198157955
10,252544.06833691944,131217.4053318602,383761.47366877965,0.658075616404599
11,284953.225706412,74687.49497783472,359640.72068424674,0.7923274793918345
12,301398.84641725715,3567.752851835844,304966.599269093,0.9883011685201376
13,228465.51721361227,174250.77116758103,402716.2883811933,0.567311340030421
14,195084.6573942959,98592.16639217448,293676.8237864704,0.6642834626137883
15,226876.79852326837,92464.50865076671,319341.3071740351,0.7104524013225283
16,310982.7089890945,3811.260887402392,314793.9698764969,0.9878928402316675
17,182796.76026964834,87267.48469901869,270064.24496866704,0.6768639820901003
18,199455.25412535004,126120.78171929343,325576.0358446435,0.6126226508284073
19,317597.2548392772,158626.23952068086,476223.49435995804,0.6669079929920851
20,27784.65397731427,290553.80641693476,318338.460394249,0.0872802297997676
21,95634.27675124808,97569.41515982094,193203.69191106904,0.49499197352433716
22,87659.85822969019,96940.15927203328,184600.0175017235,0.47486375903984823
23,105829.24275631212,163993.99974271646,269823.24249902857,0.39221692607408765
24,235472.64863131082,144118.54309809525,379591.19172940607,0.6203322251986525
25,164328.5135330725,124340.8905062434,288669.4040393159,0.5692619696914311
26,230762.01387618817,158128.11690399458,388890.1307801828,0.5933861407417013
27,154017.53739658053,127968.64668556792,281986.1840821485,0.5461882393206612
28,202018.61330460568,111899.27993516599,313917.89323977166,0.6435396568818812
29,148357.81560449535,66252.63104583923,214610.44665033458,0.6912888814131922
30,215206.53810233646,102753.5478105063,317960.08591284277,0.6768350734479532
31,156467.41129051597,118223.17604603014,274690.5873365461,0.5696132976657654
32,208660.51517569897,126975.46772701258,335635.98290271155,0.6216869638681796
33,138641.52952586615,97537.49133616887,236179.02086203502,0.5870188174200882
34,189386.53942898984,11.134015594711432,189397.67344458457,0.9999412135566809
35,141372.57750699096,111263.7843499378,252636.36185692876,0.5595891916265485
36,245954.10135069743,111958.97229232639,357913.07364302385,0.6871894866740959
37,160390.61168203602,16.97533118587252,160407.5870132219,0.9998941737638353
38,141371.2151105164,110617.05191083443,251988.26702135085,0.5610230062756775
39,137138.49521742665,104802.51249390213,241941.0077113288,0.5668261718619154
40,168057.3340494264,215066.1106129149,383123.44466234127,0.43865061350536927
41,174247.0269170243,121650.86716228243,295897.89407930674,0.5888755222783792
42,202635.6676960628,153535.6949171049,356171.36261316773,0.5689274573041468
43,160112.50500146943,53157.778688433675,213270.2836899031,0.7507492475335872
44,146758.07592353728,53597.58826506575,200355.66418860303,0.7324877812557766
45,159840.26903607228,140437.8681480738,300278.1371841461,0.5323073818659331
46,137689.69933273154,85687.3980046668,223377.09733739833,0.6164002530875362
47,187800.3946682165,166233.19002649374,354033.5846947102,0.5304592637169163
48,182389.81180267048,165234.54291027074,347624.3547129412,0.5246750100500958
49,209751.0477180557,175464.46375807267,385215.51147612836,0.5445031196025809
50,217499.09714224443,154187.5851413989,371686.6822836433,0.5851678510672748
51,227989.14758598446,157515.35569520632,385504.50328119076,0.5914046285982992
52,182594.35916264285,101884.6355746214,284478.99473726423,0.641855330412993
